City,Property Type,Average_Bed,Square Footage,Address,Zip code,Price,Average_Price,Country
Ottawa,apartment,1,1500,"186 James Street  - Ottawa , ON",K1R 6E5,,1750,Canada
Ottawa,private-room,1,2800,"Birchview Road  - Ottawa , ON",K2G 1V9,,717,Canada
Ottawa,apartment,1.5,800,"2861 Baycrest Drive  - Ottawa , ON",K1V 0G8,,1529,Canada
Ottawa,apartment,1.5,800,"2870 Cedarwood Drive  - Ottawa , ON",K1V 0G8,,1479,Canada
Ottawa,apartment,1.5,1467,"324 Laurier  - Ottawa , ON",K1P 0A4,,2300,Canada
Ottawa,duplex,3,1000,"2636 Don Street - 1  - Ottawa , ON",K2B 8G5,,2300,Canada
Ottawa,apartment,2,400,"2220 &amp; 2240 Halifax Drive  - Ottawa , ON",K1G 3C3,,2452.5,Canada
Ottawa,apartment,2,1450,"810-860 Canterbury Avenue  - Ottawa , ON",K1G 2H7,,2125,Canada
Ottawa,town-house,1,1000,"6B Monk Street - 1 (Basement)  - Ottawa , ON",Postal code not found,,2100,Canada
Ottawa,town-house,2,850,"4 Monk Street - 3  - Ottawa , ON",K1S 3W4,,3800,Canada
Ottawa,town-house,1,1000,"2 Monk Street - 2  - Ottawa , ON",K1S 3W4,,2400,Canada
Ottawa,town-house,1,1700,"156 Fifth Avenue - 3  - Ottawa , ON",K1S 2N1,,2700,Canada
Ottawa,town-house,1,370,"154 Fifth Avenue - 1 (Basement)  - Ottawa , ON",Postal code not found,,2100,Canada
Ottawa,apartment,1.5,88,"18 Hamilton Avenue North  - Ottawa , ON",K1Y 1B6,,2397.5,Canada
Ottawa,town-house,2,850,"C - 302 Everest Private  - Ottawa , ON",K1G 1A2,,2100,Canada
Ottawa,house,2,2200,"15 Louisa Street  - Ottawa , ON",K1R 7H8,,2419,Canada
Ottawa,apartment,1,1400,"141 Augusta Street  - Ottawa , ON",K1N 6B9,,1670,Canada
Ottawa,apartment,1,800,"144 Clarence St.  - Ottawa , ON",K1N 7E7,,2700,Canada
Ottawa,apartment,1.5,1000,"200 Frontier Path Private  - Gloucester , ON",K1J 1G1,,3022.5,Canada
Ottawa,apartment,1.5,2000,"100 Frontier Path Private  - Gloucester , ON",K1J 1G1,,2447.5,Canada
Ottawa,apartment,2,420,"1755 Frobisher Lane  - Ottawa , ON",K1G 3T7,,2629.5,Canada
Ottawa,town-house,3,1600,"133 Prince Albert Street - 1  - Ottawa , ON",K1J 9L9,,2950,Canada
Ottawa,apartment,1.5,150,"2310 Fox Crescent  - Ottawa , ON",K2B 7G3,,1574.5,Canada
Ottawa,apartment,1.5,550,"981 Gulf Place  - Ottawa , ON",K1K 0S6,,1852.5,Canada
Ottawa,apartment,2,2000,"255 Stewart Street  - Ottawa , ON",K1N 7N1,,2299,Canada
Ottawa,apartment,2,1500,"36 Robinson Ave  - Ottawa , ON",K1N 8M9,,2727.5,Canada
Ottawa,house,4,1227,"308 Cumberland Street  - Ottawa , ON",K1N 8Y3,,2800,Canada
Ottawa,apartment,3,1461,"2480-2628 Hunter's Point Crescent  - Ottawa , ON",K1T 4H4,,2290,Canada
Ottawa,apartment,2,1600,"1811-1847 Frobisher Lane  - Ottawa , ON",K1G 3T7,,2299,Canada
Ottawa,apartment,1.5,850,"325 Besserer Street  - Ottawa , ON",K1N 1C7,,1995,Canada
Ottawa,apartment,1.5,1500,"407 Elgin Street  - Ottawa , ON",K2P 1N3,,2445,Canada
Ottawa,apartment,0,1579,"200 Bronson Avenue  - Ottawa , ON",K1R 6P3,,1450,Canada
Ottawa,apartment,1,1600,"255 Metcalfe Street  - Ottawa , ON",K2P 1R7,,1872.5,Canada
Ottawa,apartment,2,1775,"52 Bayswater Avenue  - Ottawa , ON",K1Y 0H3,,1950,Canada
Ottawa,apartment,2,1000,"1300 Richmond Road  - Ottawa , ON",K2B 8J7,,2070,Canada
Ottawa,apartment,1,2400,"784 Saint Laurent Boulevard  - Ottawa , ON",Postal code not found,,1775,Canada
Ottawa,apartment,1.5,1800,"170 Metcalfe St  - Ottawa , ON",K2P 1P8,,3000,Canada
Ottawa,apartment,1.5,1000,"1833 Frobisher Lane  - Ottawa , ON",K1G 3T7,,1769,Canada
Ottawa,apartment,1,1200,"185 Lyon Street North  - Ottawa , ON",K1R 7X6,,2366,Canada
Ottawa,apartment,1,1800,"290 Mona Avenue  - Ottawa , ON",K1L 6B3,,1549,Canada
Ottawa,apartment,1,700,"45 Somerset St. W  - Ottawa , ON",K2P 0H3,,1729,Canada
Ottawa,apartment,0,500,"135 MacLaren Street  - Ottawa , ON",K2P 1M2,,1599,Canada
